MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.2495", Thicko=0.124"			Time:	150.17505	Sec	11/9/2011 2:56:05 PM
Time,Axial Displacement,Axial Strain,Axial Force
Sec,in,in/in,lbf
180.04272,0.53911895,0.26840782,2773.2656
180.07275,0.53927737,0.26849207,2775.4985
180.10278,0.53939784,0.26852447,2774.4329
180.13281,0.53955251,0.26857531,2773.373
180.16284,0.53954583,0.26863262,2772.4292
180.19287,0.53967798,0.26867339,2773.7349
180.2229,0.53971338,0.26874658,2773.2043
180.25293,0.53981417,0.26880234,2776.0046
180.28296,0.53998637,0.26886037,2774.0681
180.31299,0.54007161,0.26889673,2775.0957
180.34302,0.54008639,0.2689546,2772.9075
180.37305,0.5401963,0.26899824,2774.8362
180.40308,0.54039633,0.26904184,2776.1365
180.43311,0.54041302,0.26910174,2777.0781
180.46313,0.54050052,0.26918975,2776.5559
180.49316,0.54051405,0.26922259,2774.4075
180.52319,0.54062718,0.26927751,2774.4043
180.55322,0.54067171,0.26934481,2777.3284
180.58325,0.54079151,0.26938054,2774.49
180.61328,0.54087496,0.2694279,2773.6716
180.64331,0.54097784,0.26946434,2773.8694
180.67334,0.5410893,0.26952574,2775.2366
180.70337,0.54115957,0.26958686,2775.2739
180.7334,0.54128796,0.26964295,2777.2336
180.76343,0.54136378,0.26968351,2776.3953
180.79346,0.54139227,0.26972568,2777.1975
180.82349,0.54152858,0.26978046,2777.4377
180.85352,0.54171121,0.26985538,2779.1104
180.88354,0.54176307,0.26990309,2778.0898
180.91357,0.5418303,0.26994574,2777.23
180.9436,0.54188603,0.27000934,2776.0188
180.97363,0.54200661,0.27003697,2779.2773
181.00366,0.54214519,0.27010694,2778.9565
181.03369,0.54219449,0.27015752,2775.8633
181.06372,0.54229617,0.27021745,2776.9854
181.09375,0.54239088,0.27027789,2775.8379
181.12378,0.54245108,0.27031413,2776.9192
181.15381,0.54253805,0.27037504,2775.7607
181.18384,0.5426532,0.27043718,2778.1704
181.21387,0.54273337,0.27049109,2777.2224
181.2439,0.54282629,0.27053609,2779.3013
181.27393,0.54294622,0.27059332,2776.6458
181.30396,0.54299843,0.27063805,2777.3455
181.33398,0.54308265,0.270715,2777.1211
181.36401,0.54316187,0.27074701,2778.8547
181.39404,0.54324108,0.27078316,2778.6936
181.42407,0.54343104,0.27084836,2776.7739
181.4541,0.5434376,0.27092689,2779.0454
181.48413,0.54355294,0.27095401,2779.5181
181.51416,0.54372072,0.27102479,2778.0581
181.54419,0.54368156,0.27108759,2781.1475
181.57422,0.5438087,0.27112502,2779.3054
181.60425,0.54395753,0.27117515,2780.2336
181.63428,0.54395843,0.27123627,2779.127
181.66431,0.54404771,0.27127612,2777.1477
181.69434,0.54414034,0.27132121,2778.7766
181.72437,0.54422104,0.27141482,2778.1226
181.75439,0.54434925,0.2714299,2778.1907
181.78442,0.54434621,0.27149722,2779.6721
181.81445,0.54450685,0.27156231,2779.897
181.84448,0.54455823,0.27160478,2778.0286
181.87451,0.54468602,0.27167308,2779.1086
181.90454,0.54486156,0.27171984,2781.2192
181.93457,0.54492337,0.27177706,2778.0757
181.9646,0.54496783,0.27182743,2779.5391
181.99463,0.54510152,0.27187395,2780.9971
182.02466,0.54516214,0.27195656,2780.6899
182.05469,0.54516745,0.27198777,2780.0452
182.08472,0.54533577,0.27204594,2777.2463
182.11475,0.54540241,0.27207559,2780.5259
182.14478,0.5454964,0.27212289,2780.8743
182.1748,0.54558867,0.27220026,2782.8193
182.20483,0.54571831,0.27223012,2779.4846
182.23486,0.54581487,0.27229017,2778.7781
182.26489,0.54590452,0.27234641,2778.4553
182.29492,0.54596907,0.27239656,2780.6572
182.32495,0.54607511,0.27245203,2778.7014
182.35498,0.54618293,0.27250797,2781.6685
182.38501,0.54618514,0.27255929,2780.8787
182.41504,0.54630893,0.27260232,2780.3477
182.44507,0.54640996,0.27265978,2779.5481
182.4751,0.54653424,0.27269039,2781.7126
182.50513,0.54662025,0.27275464,2780.7
182.53516,0.5466783,0.27281532,2782.3462
182.56519,0.54675561,0.27286863,2781.9355
182.59521,0.54690385,0.27293748,2781.9177
182.62524,0.54692578,0.27298445,2781.1301
182.65527,0.54706019,0.273031,2781.3413
182.6853,0.54707277,0.27310866,2781.4797
182.71533,0.54718816,0.27313393,2780.7751
182.74536,0.54732144,0.27321365,2784.3875
182.77539,0.54741341,0.27326107,2780.4351
182.80542,0.54751229,0.27331239,2783.1089
182.83545,0.547607,0.27336168,2782.282
182.86548,0.54768234,0.27341181,2783.6843
182.89551,0.54774684,0.27348208,2782.1504
182.92554,0.54793906,0.27353179,2783.8306
182.95557,0.54798496,0.27357405,2782.78
182.9856,0.54802328,0.27364373,2783.1204
183.01563,0.54811484,0.27367577,2783.0229
183.04565,0.54823482,0.27374575,2784.7153
183.07568,0.5482887,0.27378303,2783.6335
183.10571,0.54841119,0.27384344,2784.6687
183.13574,0.54847348,0.27389434,2783.5498
183.16577,0.54849744,0.27395299,2784.2903
183.1958,0.54872012,0.2740106,2785.1548
183.22583,0.54871106,0.27405861,2783.1152
183.25586,0.54880494,0.27411413,2782.5056
183.28589,0.54895383,0.27418509,2782.9578
183.31592,0.54906589,0.27425808,2783.6284
183.34595,0.54910845,0.27427858,2782.7307
183.37598,0.54924321,0.27432862,2783.6418
183.40601,0.54924726,0.27438384,2783.9866
183.43604,0.54938751,0.27443013,2782.7275
183.46606,0.54957139,0.27448791,2783.7056
183.49609,0.5495593,0.27453873,2783.7014
183.52612,0.54971242,0.27459747,2787.3701
183.55615,0.54971993,0.27464545,2781.571
183.58618,0.54988265,0.27468351,2782.3711
183.61621,0.54989505,0.27473861,2783.5474
183.64624,0.54989487,0.27480161,2784.6082
183.67627,0.55012399,0.27485219,2783.657
183.7063,0.55026913,0.2749095,2783.3003
183.73633,0.55027699,0.27494729,2784.8494
183.76636,0.55037624,0.2750062,2783.6526
183.79639,0.55048597,0.27506176,2786.1692
183.82642,0.55054337,0.27510166,2783.5164
183.85645,0.55060643,0.27516574,2785.3096
183.88647,0.55066401,0.27521259,2785.1016
183.9165,0.55090755,0.27528483,2785.386
183.94653,0.55090463,0.27530813,2783.4751
183.97656,0.55103147,0.2753562,2783.95
184.00659,0.55104035,0.2754316,2785.729
184.03662,0.5511741,0.27546987,2787.1062
184.06665,0.55121845,0.27552399,2787.1001
184.09668,0.55132347,0.27555883,2785.3386
184.12671,0.55142921,0.27564263,2784.092
184.15674,0.5515238,0.27569276,2785.7192
184.18677,0.5516187,0.27573732,2786.0564
184.2168,0.55168813,0.27580321,2784.8752
184.24683,0.55185455,0.27585623,2786.3792
184.27686,0.5518387,0.27591988,2787.687
184.30688,0.55205178,0.27595827,2787.9043
184.33691,0.55206829,0.27599943,2785.7068
184.36694,0.55222458,0.27605134,2786.6223
184.39697,0.55231059,0.27612263,2787.3408
184.427,0.55236387,0.27616635,2785.0085
184.45703,0.55238748,0.27623668,2786.0354
184.48706,0.55253565,0.27628738,2788.1084
184.51709,0.55264419,0.27633321,2786.3489
184.54712,0.55268681,0.27639693,2788.6477
184.57715,0.55284774,0.27646589,2789.6443
184.60718,0.55286473,0.27650112,2787.7603
184.63721,0.55301815,0.27655175,2786.0757
184.66724,0.55311984,0.27659777,2787.3762
184.69727,0.55315113,0.27665007,2787.2383
184.72729,0.55320477,0.27669185,2785.8423
184.75732,0.55334896,0.27677706,2786.6636
184.78735,0.55348718,0.27681801,2786.5105
184.81738,0.55352205,0.27690357,2786.8035
184.84741,0.55359447,0.27692917,2786.1868
184.87744,0.55369759,0.2769801,2788.6616
184.90747,0.55373937,0.27704361,2786.9941
184.9375,0.55385554,0.27708644,2788.3804
184.96753,0.55404162,0.2771405,2788.3452
184.99756,0.55409348,0.27719998,2789.6409
185.02759,0.55418408,0.27725458,2788.8484
185.05762,0.55428541,0.27731141,2788.981
185.08765,0.55432791,0.27734548,2786.8186
185.11768,0.5545364,0.27742404,2789.7571
185.14771,0.55457592,0.27747089,2787.9678
185.17773,0.5545873,0.27752212,2787.2917
185.20776,0.55475438,0.27756542,2789.0144
185.23779,0.55483967,0.27761823,2788.644
185.26782,0.55486763,0.27765903,2788.4829
185.29785,0.55495679,0.27770358,2787.6189
185.32788,0.55500287,0.27776939,2789.3486
185.35791,0.55514193,0.27780238,2787.1953
185.38794,0.5553028,0.27787861,2789.0427
185.41797,0.55537367,0.27793345,2789.918
185.448,0.5553726,0.27798325,2786.0535
185.47803,0.55546403,0.27801785,2789.5723
185.50806,0.55560905,0.278092,2792.5354
185.53809,0.55569166,0.27814257,2790.3584
185.56812,0.55576545,0.27820411,2790.2173
185.59814,0.55588669,0.27825493,2790.6409
185.62817,0.5559966,0.27827546,2789.9426
185.6582,0.55601579,0.27831489,2787.6003
185.68823,0.55618984,0.2784062,2789.6025
185.71826,0.55622244,0.27844846,2790.4185
185.74829,0.55631471,0.27851436,2790.9683
185.77832,0.55641526,0.27856207,2791.3523
185.80835,0.55647868,0.2786257,2789.4292
185.83838,0.55656326,0.27868512,2789.6719
185.86841,0.5566718,0.27873737,2788.9426
185.89844,0.55674326,0.2787976,2791.429
185.92847,0.55692434,0.27884248,2789.1196
185.9585,0.55688864,0.2788935,2790.801
185.98853,0.5570541,0.27894515,2787.9368
186.01855,0.55707592,0.27900496,2791.1182
186.04858,0.55721354,0.2790603,2791.1174
186.07861,0.55730343,0.27911124,2791.386
186.10864,0.55741054,0.27914712,2788.5659
186.13867,0.55757761,0.27923784,2792.376
186.1687,0.55758947,0.27926525,2792.2559
186.19873,0.55769706,0.27930436,2788.8625
186.22876,0.55771339,0.27937785,2791.0979
186.25879,0.55779809,0.2794297,2793.2505
186.28882,0.55793399,0.27950704,2795.2551
186.31885,0.55802268,0.27954397,2792.4419
186.34888,0.55804014,0.27959546,2791.4492
186.37891,0.55817753,0.27962729,2791.0603
186.40894,0.55830556,0.2797032,2790.9397
186.43896,0.55838007,0.27977365,2792.1167
186.46899,0.558469,0.27980474,2791.2808
186.49902,0.55849373,0.27985603,2793.689
186.52905,0.55861497,0.27991447,2790.0188
186.55908,0.5587762,0.27996463,2790.5525
186.58911,0.55883366,0.28003123,2794.1904
186.61914,0.55893272,0.28006122,2790.7324
186.64917,0.5590356,0.28011969,2792.905
186.6792,0.55909228,0.28016022,2793.1711
186.70923,0.559192,0.28023246,2791.8386
186.73926,0.55929464,0.28029484,2792.1243
186.76929,0.55939901,0.28034759,2796.0903
186.79932,0.55953169,0.28039184,2791.4133
186.82935,0.55953509,0.28045779,2792.9324
186.85938,0.55969876,0.28049272,2792.3855
186.8894,0.5596903,0.28054586,2792.0862
186.91943,0.55989027,0.28060842,2793.0898
186.94946,0.559901,0.28065577,2794.5042
186.97949,0.56003833,0.28070742,2794.5823
187.00952,0.56007224,0.28076431,2791.6531
187.03955,0.56019425,0.28081346,2793.885
187.06958,0.56030232,0.28088883,2793.4524
187.09961,0.56037366,0.28092262,2793.6265
187.12964,0.56046432,0.28096047,2793.6211
187.15967,0.56055892,0.28101912,2794.6313
187.1897,0.5607233,0.28108156,2796.6047
187.21973,0.56074852,0.28112382,2793.3035
187.24976,0.56083125,0.281201,2796.104
187.27979,0.5609175,0.28124437,2793.4514
187.30981,0.56102872,0.28128594,2795.342
187.33984,0.56119132,0.28136089,2794.0933
187.36987,0.56124592,0.28138953,2794.8254
187.3999,0.56126153,0.28144902,2793.2891
187.42993,0.56136841,0.28152296,2795.7466
187.45996,0.56149769,0.2815581,2793.2146
187.48999,0.56149065,0.28163233,2795.2129
187.52002,0.5616346,0.28166696,2794.6118
187.55005,0.56172228,0.28173009,2794.3564
187.58008,0.56182635,0.28178826,2796.0986
187.61011,0.56187445,0.28182796,2794.3108
187.64014,0.56189096,0.28189778,2796.1304
187.67017,0.56205195,0.28195933,2794.7737
187.7002,0.56206995,0.28201801,2795.1433
187.73022,0.56229019,0.28205031,2794.3103
187.76025,0.56239659,0.28209919,2795.7251
187.79028,0.56245041,0.28216931,2796.4634
187.82031,0.56251144,0.28221169,2796.196
187.85034,0.56269401,0.2822662,2795.3977
187.88037,0.56276888,0.28231961,2795.2935
187.9104,0.56283712,0.28240728,2798.0369
187.94043,0.56289303,0.28242633,2796.3025
187.97046,0.56293881,0.28249297,2795.1521
188.00049,0.56309462,0.28255641,2797.6194
188.03052,0.56323481,0.28259498,2795.9709
188.06055,0.56320816,0.28265145,2797.5044
188.09058,0.56339741,0.28269538,2797.616
188.12061,0.56340301,0.28274181,2794.9661
188.15063,0.56351858,0.28281096,2794.7749
188.18066,0.56359649,0.28286952,2796.7412
188.21069,0.56365764,0.28291956,2795.8904
188.24072,0.56378978,0.28297645,2795.5544
188.27075,0.56394172,0.2830143,2796.8069
188.30078,0.56401408,0.28305167,2796.978
188.33081,0.56407094,0.28313467,2795.8943
188.36084,0.56417215,0.2831786,2798.3132
188.39087,0.56422096,0.28323245,2795.5637
188.4209,0.56436199,0.28330824,2797.7896
188.45093,0.56441796,0.28333867,2799.3154
188.48096,0.56450284,0.28338867,2797.575
188.51099,0.56463194,0.28344765,2797.491
188.54102,0.5647552,0.28348067,2795.1982
188.57104,0.56486732,0.28352517,2798.3362
188.60107,0.56484461,0.28360751,2798.2412
188.6311,0.56498539,0.28363395,2797.7292
188.66113,0.5650456,0.28369808,2797.7778
188.69116,0.56511247,0.28375918,2798.0249
188.72119,0.56526524,0.2838096,2798.9932
188.75122,0.56538242,0.28386807,2798.9229
188.78125,0.56535649,0.28391492,2798.1963
188.81128,0.56541914,0.28397486,2798.0132
188.84131,0.56558675,0.28404248,2797.915
188.87134,0.56568843,0.28409901,2798.187
188.90137,0.56579018,0.28415957,2798.6743
188.9314,0.56586081,0.28417686,2798.0876
188.96143,0.5659712,0.28424186,2797.3708
188.99146,0.56602788,0.28429133,2795.1116
189.02148,0.56612587,0.28435731,2799.3574
189.05151,0.56631196,0.28441525,2799.7324
189.08154,0.56633568,0.28445175,2799.0344
189.11157,0.56633162,0.2845169,2798.9402
189.1416,0.56644678,0.2845628,2797.5803
189.17163,0.56657684,0.28462031,2802.998
189.20166,0.5666557,0.28469113,2799.6846
189.23169,0.5668608,0.28474075,2801.4158
189.26172,0.56686896,0.28477532,2800.7498
189.29175,0.56698799,0.28485525,2800.2759
189.32178,0.56710267,0.28490672,2799.3789
189.35181,0.56720483,0.28494978,2797.7312
189.38184,0.56725001,0.28502071,2799.7207
189.41187,0.56728947,0.2850644,2800.667
189.44189,0.56751788,0.28511083,2799.3979
189.47192,0.56752998,0.2851851,2799.6704
189.50195,0.56757253,0.28523749,2799.4143
189.53198,0.56771094,0.2852807,2800.5
189.56201,0.56779808,0.28532925,2799.8689
189.59204,0.56787437,0.28538218,2801.1917
189.62207,0.56795561,0.28543374,2800.0261
189.6521,0.568057,0.28550074,2801.5281
189.68213,0.5680604,0.28552997,2797.6648
189.71216,0.56830257,0.28559124,2802.4431
189.74219,0.56834227,0.28565127,2801.9172
189.77222,0.56838506,0.28569978,2802.2576
189.80225,0.56853104,0.28573471,2801.9443
189.83228,0.56856322,0.28579327,2800.7615
189.8623,0.56869715,0.2858786,2801.876
189.89233,0.56880277,0.28593704,2802.8
189.92236,0.56894583,0.28598908,2802.856
189.95239,0.56893325,0.28605404,2800.8872
189.98242,0.56899768,0.28607273,2799.5176
190.01245,0.56904107,0.28612822,2800.5229
190.04248,0.56923294,0.28618819,2800.6682
190.07251,0.56933087,0.28623563,2803.8357
190.10254,0.56941068,0.28631181,2801.9312
190.13257,0.56948018,0.28635663,2802.6418
190.1626,0.56953245,0.28638688,2800.5745
190.19263,0.56968606,0.28643346,2798.9185
190.22266,0.56979895,0.28649324,2802.3574
190.25269,0.5697608,0.28654712,2800.1487
190.28271,0.56994545,0.28658202,2800.8757
190.31274,0.57007384,0.28666359,2801.8579
190.34277,0.57010096,0.28670466,2802.9985
190.3728,0.57025039,0.28677464,2802.4011
190.40283,0.5702917,0.28682807,2803.604
190.43286,0.57035953,0.28686747,2802.9319
190.46289,0.57041866,0.28690308,2801.1416
190.49292,0.57062799,0.28698009,2803.8594
190.52295,0.57071632,0.28704122,2804.5815
190.55298,0.57072294,0.28709617,2803.9502
190.58301,0.57082373,0.28716743,2802.988
190.61304,0.57087111,0.28720662,2803.1074
190.64307,0.5710268,0.2872721,2802.6299
190.6731,0.57109666,0.28732336,2804.9805
190.70313,0.57123476,0.28737509,2805.1477
190.73315,0.5712955,0.28742087,2804.4358
190.76318,0.57140613,0.28744903,2802.0076
190.79321,0.57150507,0.28752354,2803.0618
190.82324,0.57160443,0.2875697,2802.2727
190.85327,0.5716176,0.28763399,2803.7317
190.8833,0.57174641,0.28770632,2805.3438
190.91333,0.57184273,0.28776962,2805.6174
190.94336,0.57193083,0.28782296,2806.3328
190.97339,0.57205063,0.28785422,2804.7244
191.00342,0.57205755,0.28790268,2802.9011
191.03345,0.57216221,0.28798351,2805.5813
191.06348,0.57228404,0.28801972,2804.3845
191.09351,0.57237053,0.2880941,2806.2083
191.12354,0.57244265,0.28814211,2802.4421
191.15356,0.5725708,0.28819484,2805.4507
191.18359,0.57263696,0.28823331,2801.8025
191.21362,0.57266194,0.28830177,2804.7151
191.24365,0.57275432,0.28835559,2803.1812
191.27368,0.57285917,0.28841388,2805.8401
191.30371,0.57298976,0.28845617,2803.178
191.33374,0.57307929,0.28851575,2806.8096
191.36377,0.5732277,0.28857356,2805.8955
191.3938,0.57326502,0.28861007,2803.6362
191.42383,0.57333159,0.28869015,2805.0359
191.45386,0.57345182,0.28871226,2805.3369
191.48389,0.57349974,0.28878471,2806.252
191.51392,0.57360309,0.28883836,2804.8071
191.54395,0.5736956,0.28888404,2804.7139
191.57397,0.57390451,0.28894359,2806.8411
191.604,0.57390743,0.28902385,2806.311
191.63403,0.57400203,0.28906104,2805.8015
191.66406,0.57407743,0.28910616,2805.3762
191.69409,0.57425964,0.28919843,2804.7058
191.72412,0.57421732,0.28922021,2803.9153
191.75415,0.57434601,0.28927362,2805.4265
191.78418,0.57434177,0.28931621,2804.5806
191.81421,0.57453829,0.28938118,2806.1152
191.84424,0.57465804,0.28941607,2806.1216
191.87427,0.5747385,0.28951323,2806.1599
191.9043,0.57474494,0.2895402,2806.8958
191.93433,0.57476419,0.28959802,2806.2646
191.96436,0.57506973,0.28966907,2807.9866
191.99438,0.57512981,0.28972757,2808.333
192.02441,0.57516521,0.28977138,2807.1335
192.05444,0.57518482,0.28981984,2806.6465
192.08447,0.57527542,0.28988251,2804.5569
192.1145,0.57539988,0.28993419,2806.8003
192.14453,0.57552522,0.28998396,2806.9832
192.17456,0.57570928,0.29004943,2808.0789
192.20459,0.57569897,0.29011521,2808.343
192.23462,0.57579798,0.29015788,2805.4231
192.26465,0.57584566,0.29020095,2807.812
192.29468,0.57599562,0.29026252,2807.7388
192.32471,0.57599407,0.29032633,2807.7292
192.35474,0.57614493,0.29038006,2809.5481
192.38477,0.57618636,0.29043359,2806.2134
192.41479,0.57631791,0.29049054,2806.8184
192.44482,0.57637829,0.2905322,2806.5293
192.47485,0.57647067,0.29060164,2806.7026
192.50488,0.57665735,0.29067117,2808.7249
192.53491,0.57668924,0.29072362,2808.0015
192.56494,0.57680327,0.29074806,2806.2642
192.59497,0.57687944,0.29081413,2808.2466
192.625,0.57698786,0.29087776,2807.1228
192.65503,0.57698607,0.29090968,2807.7712
192.68506,0.57721388,0.29096347,2807.6057
192.71509,0.57726204,0.29101455,2806.5376
192.74512,0.57729512,0.29107293,2808.7458
192.77515,0.57736313,0.29115275,2808.5129
192.80518,0.57753462,0.29120117,2807.6924
192.83521,0.57763952,0.29124489,2807.4255
192.86523,0.57762426,0.29129195,2807.2717
192.89526,0.57773548,0.29134411,2808.0164
192.92529,0.57788569,0.29138577,2808.3738
192.95532,0.57789105,0.29146692,2809.9827
192.98535,0.57802111,0.29149738,2809.7173
193.01538,0.57815558,0.29155299,2808.5071
193.04541,0.5782187,0.29161817,2808.3438
193.07544,0.57835233,0.29166773,2809.301
193.10547,0.57838154,0.29173633,2809.491
193.1355,0.57850641,0.29177848,2808.9116
193.16553,0.57855451,0.29184875,2809.6875
193.19556,0.57870793,0.29188782,2811.8435
193.22559,0.57877928,0.29193082,2807.8474
193.25562,0.57877928,0.29197264,2809.5413
193.28564,0.57893699,0.29206696,2809.3213
193.31567,0.57906073,0.29211184,2809.5916
193.3457,0.57914913,0.29214624,2808.3884
193.37573,0.57922512,0.29219022,2809.915
193.40576,0.57930225,0.29227301,2810.9211
193.43579,0.57942766,0.29231283,2808.8855
193.46582,0.57951975,0.29235154,2811.3384
193.49585,0.57957846,0.29242101,2808.249
193.52588,0.57965314,0.29246366,2809.762
193.55591,0.57977462,0.29251885,2809.9136
193.58594,0.57989311,0.2925745,2811.978
193.61597,0.57990932,0.29262769,2811.2544
193.646,0.58007848,0.29269525,2810.9021
193.67603,0.58013529,0.29274943,2811.2175
193.70605,0.58014244,0.29280302,2808.5569
193.73608,0.58027971,0.2928651,2810.311
193.76611,0.58045882,0.29292104,2809.5969
193.79614,0.58050489,0.292963,2809.2583
193.82617,0.58059263,0.29303712,2812.2522
193.8562,0.58060944,0.29306975,2810.8831
193.88623,0.58074707,0.29314533,2811.0627
193.91626,0.58084196,0.29318959,2811.072
193.94629,0.58088022,0.29323712,2811.2681
193.97632,0.58102816,0.29330114,2811.1477
194.00635,0.58113134,0.29335451,2812.1565
194.03638,0.58115488,0.29339823,2811.519
194.06641,0.58128411,0.29348108,2810.8108
194.09644,0.5814231,0.29351935,2814.3096
194.12646,0.58147299,0.29357651,2811.9792
194.15649,0.58165455,0.29363137,2812.5559
